OEY,Skagit,BBC,HC.Total,SJDF,Cedar,Bear,Green,Puyallup,Nisqually,Deschutes,Snohomish,Nooksack,Stilli
1978,NA,17619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,NA,45634,NA,NA,NA,NA,NA,NA,NA,60275,NA,NA,NA
1980,NA,20493,NA,NA,NA,NA,NA,NA,NA,65776,NA,NA,NA
1981,NA,41055,NA,NA,NA,NA,NA,NA,NA,131261,NA,NA,NA
1982,NA,25216,NA,NA,NA,NA,NA,NA,NA,64757,NA,NA,NA
1983,NA,23620,NA,NA,NA,NA,NA,NA,NA,65518,NA,NA,NA
1984,NA,36564,NA,NA,NA,NA,NA,NA,NA,101901,NA,NA,NA
1985,NA,26062,NA,NA,NA,NA,NA,NA,NA,64452,NA,NA,NA
1986,NA,23994,NA,NA,NA,NA,NA,NA,NA,99241,NA,NA,NA
1987,NA,11510,NA,NA,NA,NA,NA,NA,NA,91057,NA,NA,NA
1988,NA,26534,NA,NA,NA,NA,NA,NA,NA,54397,NA,NA,NA
1989,NA,17595,NA,NA,NA,NA,NA,NA,NA,117164,NA,NA,NA
1990,774641,19739,NA,NA,NA,NA,NA,NA,NA,133198,NA,NA,NA
1991,648135,23646,NA,NA,NA,NA,NA,NA,NA,10101,NA,NA,NA
1992,1063767,18677,NA,NA,NA,NA,NA,NA,NA,76438,NA,NA,NA
1993,617588,13072,18252,NA,NA,NA,NA,NA,NA,29652,NA,NA,NA
1994,1129123,18431,26597,NA,NA,NA,NA,NA,NA,19686,NA,NA,NA
1995,726660,16573,23229,NA,NA,NA,NA,NA,NA,23912,NA,NA,NA
1996,1124504,25809,NA,NA,NA,NA,NA,NA,NA,38197,NA,NA,NA
1997,1174377,40828,50923,NA,NA,NA,NA,NA,NA,6454,NA,NA,NA
1998,1759597,22222,NA,201633,NA,NA,NA,NA,NA,15521,NA,NA,NA
1999,702696,20967,25370,212759,39088,62970,NA,NA,NA,23862,NA,NA,NA
2000,1452630,47088,54745,413017,32169,28142,32769,NA,NA,3159,NA,NA,NA
2001,1013523,21803,29318,346634,82462,21665,55113,NA,NA,1187,1646000,NA,173700
2002,1884668,24352,33180,279667,60513,58212,194393,NA,NA,71284,3985000,NA,397737
2003,1382479,36060,45630,304281,74507,48561,207442,NA,NA,1953,2301000,NA,445425
2004,885082,25060,35552,234956,70044,21085,NA,NA,NA,6073,4150000,NA,353380
2005,1017519,32949,47310,317789,72643,43725,NA,55972,NA,59503,969000,476265,296492
2006,735876,38579,50194,421710,38023,46987,31460,31367,NA,3416,2297000,343921,437839
2007,747491,29911,38522,409423,33994,25143,22671,34906,NA,3049,237000,242462,452315
2008,426963,27416,31190,301315,13322,12208,NA,82000,NA,43074,503000,213405,207602
2009,1475065,45399,50597,239310,52691,33395,81120,54051,128497,7176,868000,445028,473739
2010,1447110,24396,26769,252716,83060,13100,43763,46525,179220,5089,1576000,356281,385126
2011,951990,57271,60890,309213,52458,34513,62280,91196,254456,86820,1586000,928633,751044
2012,1521821,21243,25007,179779,48168,16059,48148,57704,80048,5873,1803000,556870,698975
2013,1409208,27246,34448,389030,115185,17752,50642,151198,164400,1897,1827000,97615,1195420
2014,1722084,58136,67578,340246,129666,36119,106365,184997,203827,54938,1998000,340663,164896
2015,665087,8115,12400,222028,107874,30544,42564,32112,118580,1363,536000,102876,388868
2016,729392,23912,29888,281536,60621,11545,62074,25201,84524,2011,984000,148785,405036
2017,1376182,23912,27252,185575,91295,6004,79491,40729,58930,4536,1117000,465727,512271
2018,1493126,21916,29364,215462,179915,37631,57609,41705,156355,20451,1077000,216196,410979
2019,1199873,27954,32679,245079,62328,19386,59398,44286,63679,NA,804000,361703,483393
2020,1057204,19939,24766,322153,45132,11854,NA,102520,62153,NA,NA,303113,597746
2021,1196097,3066,6215,183808,38235,12856,NA,87411,33562,4121,1177000,189780,468114
2022,630782,17738,22834,306017,52237,2294,NA,65000,93191,3684,1641000,368191,507705
2023,825505,17333,25851,338984,118191,16309,NA,75176,111722,16874,1557000,467791,498199
2024,547661,4661,7620,254965,63802,21090,32424,63807,129920,8479,984000,617199,456658
