StockID,year,est_n_rec,est_n_rel
23,1991,2739,19730.1888
23,1992,981,16452.1728
23,1993,1683.596,16187.6736
23,1994,1625,19018.943999999996
23,1995,1798,16982.783999999996
23,1996,1007,15875.596799999998
23,1997,2176,17458.559999999998
23,1998,1195,20718.028799999996
23,1999,1470,13818.4704
23,2002,610,9112.32
23,2003,1369,13893.465599999998
23,2004,1022.4,15989.2992
23,2005,114,10738.8288
23,2006,1511,17668.224
23,2007,550,15756.249599999997
23,2008,1032,8359.948799999998
23,2009,766,22684.032
23,2010,628,15429.657599999999
23,2011,1352,16311.0528
23,2012,1562,23817.023999999998
23,2013,998,19023.782399999996
23,2014,184,14409.561599999999
23,2015,988,16766.6688
23,2016,727,12979.007999999998
23,2017,681,7042.291199999999
23,2018,1052,15782.054399999999
45,1986,4636,16201
45,1987,898,8096
45,1988,2448,13594
45,1989,2640,11716
45,1990,1389,14267
45,1991,1549,17055
45,1992,1239.7410071942445,13632
45,1993,2133,8961
45,1994,1471.462857142857,13356
45,1995,1587,12252
45,1996,3071.762711864407,18029
45,1997,4741.44537815126,29516
45,1998,526,16637
45,1999,1843,16038
45,2000,4178,31797
45,2001,3464,15776
45,2002,3440,17230
45,2003,5654,25444.3392
45,2004,2814.4,17902.911599999996
45,2005,1247,23785.4358
45,2006,3053,27016.487399999998
45,2007,902,21715.163399999998
45,2008,2682,20029.1154
45,2009,633,31246.1982
45,2010,1273,17247.946799999998
45,2011,4534,42096.07919999999
45,2012,1629,15184.1592
45,2013,1475,19477.0968
45,2014,2246,40190
45,2015,482,5781.1992
45,2016,1146,16429
45,2017,1287,17273
45,2018,561,15884
149,1986,507,14263.6032
149,1987,529,14186.188799999998
149,1988,377,9721.151999999998
149,1989,511,13441.881599999999
149,1990,1102,15640.934399999998
149,1991,513,16410.239999999998
149,1992,145,16523.9424
149,1993,90,14593.4208
149,1994,435,13190.2848
149,1995,1167,10106.5986
149,1996,141,10773.503999999999
149,1997,1540,47845.3248
149,1998,1050,36154.1376
149,1999,1120.3,11608.127999999999
149,2000,2333.7,42870.64319999999
149,2001,1834.8,33175.296
149,2002,915.4,21059.942399999996
149,2003,535.7,25393.535999999996
149,2004,684.3,18450.431999999997
149,2005,403.5,26696.678399999997
149,2006,498,17937.5616
149,2007,466,20172.096
149,2008,1655,16165.094399999998
149,2009,2100,27349.862399999998
149,2010,1563,22771.123199999998
149,2011,2280,44596.3392
149,2012,844,34172.0064
149,2013,2446,31114.1376
149,2014,339,19123.775999999994
149,2015,761,21624.422399999996
149,2016,594,15770.7648
149,2017,314.33,7591.449599999999
149,2018,750.01,23408.985599999996
63,1986,2407,8162.800179171332
63,1987,2993,11014.181288981288
63,1988,681,6388.2
63,1989,1629,9491.604513618677
63,1990,803,12351.359999999999
63,1991,224,1699.32
63,1992,183,5655.868235294118
63,1993,580,3235.2544736842106
63,1994,72,1137.36
63,1995,142,2999.64
63,1996,232,4817.459154929577
63,1997,19,878.4948331193838
63,1999,267,3614.3787419768933
63,2002,594,12529.684370988447
63,2005,274,9783.27471758665
63,2008,786,6032.870969191271
63,2011,356,7238.473555840821
63,2014,47,4014.357034659821
63,2017,16,449.368324775353
63,2018,33,2254.128677792041
107,1988,6747,201224
107,1991,269,10061
107,1993,368,30488
107,1994,1538,78796
107,1995,1306,71391
107,1996,992,70807
107,2007,71,37790
107,2008,825,38695
107,2009,83,37601
107,2010,724.46,39048
97,1986,6850,46216
97,1989,4050,37021
97,1990,1623,47087
97,1991,1795,46218
97,1992,1147,45696
97,1993,8858,90574
97,1994,1515,44166
97,1995,883,44910
97,1996,304,46341
97,1997,536,46421
97,1998,852,85907
97,1999,3754,84308
97,2000,6417,99281
97,2001,8068,90094
97,2002,7529,126748
97,2003,16210,99273
97,2004,9305,143585
97,2005,4237,90326
97,2006,3589,89838
97,2007,3073,89974
97,2008,4282,90705
97,2009,1211,90759
97,2010,7365.73,137584
97,2011,9609.45,143865
97,2012,6980.48,138585
97,2013,5424.13,142430
97,2014,1101.13,146427
97,2015,2622.67,147652
97,2016,1965.95,108262
97,2017,4168.43,139866
97,2018,2106.64,89848
69,1987,2876,48388
69,1988,1035,50804
69,1989,1388,50699
69,1990,1138,50529
69,1991,1155,50001
69,1992,448,47214
69,1993,1136,49012
69,1994,881,52418
69,1995,307,49384
69,1998,18,92860
69,1999,9,45470
69,2000,272,49266
69,2002,69,32395
69,2005,287,44827
69,2006,451,35003
69,2007,353,40217
69,2008,303,44582
69,2009,85,49081
69,2010,378.12,45852
69,2011,816.61,37651
69,2012,571.33,45670
69,2013,729.14,46556
69,2014,272.79,93632
69,2015,837.18,75066
69,2016,1768.7,15624
69,2017,731.48,27304
69,2018,350.07000000000005,114186
75,2003,155,12992
75,2004,99,7583
75,2005,117,11339
75,2006,732,12168
75,2007,185,19260
1,1986,17807,106335
1,1987,7196,46397
1,1988,4575,50858
1,1989,5599,48847
1,1990,3982,45436
1,1991,3426,45814
1,1992,3897,46332
1,1993,3126,46347
1,1994,1550,44884
1,1995,2151,41294
1,1996,601,44273
1,1997,345,42302
1,1998,1781,133221
1,1999,1003,69032
1,2000,4621,89638
1,2001,3426,88875
1,2002,1766,96127
1,2003,2914,98611
1,2004,265,29140
1,2005,738,94009
1,2006,1125,92414
1,2007,736,98804
1,2008,1027,99028
1,2009,3448,93274
1,2010,2056.21,44540
1,2011,1780.08,47395
1,2012,2308.69,43906
1,2013,1523.88,47416
1,2014,967.49,44673
1,2015,1570.87,45046
1,2016,1600.77,49632
1,2017,1684.96,47775
1,2018,2218.89,99670
85,1986,14658,89325
85,1987,6847,92437
85,1988,7724,49905
85,1989,4380,45990
85,1990,4056,45691
85,1991,4529,43632
85,1992,3190,46751
85,1993,10513,89526
85,1994,4622,45533
85,1995,2739,45170
85,1996,764,59373
85,1997,880,64648
85,1998,585,80870
85,1999,5390,90547
85,2000,3502,56316
85,2001,5830,88227
85,2002,4356,79146
85,2003,4195,94704
85,2004,4737,91940
85,2005,2368,90514
85,2006,2704,88952
85,2007,910,104543
85,2008,2620,89968
85,2009,247,91920
85,2010,1515.11,90056
85,2011,2427.58,88699
85,2012,1706.4,90937
85,2013,1321.69,91014
85,2014,931.07,90196
85,2015,1388.74,73331
85,2016,1597.26,99868
85,2017,3030.1,93637
85,2018,1217.41,87829
51,1989,4676,69060
51,1990,5257,77013
51,1991,1670,65083
51,1992,2564,62195
51,1993,3649,38823
51,1994,1323,24773
51,1995,1422,40094
51,1996,2126,44517
51,1997,1389,49231
51,1998,904,86272
51,1999,3680,94648
51,2000,4024,82909
51,2002,3617,98106
51,2003,4425,72202
51,2004,4547,88194
51,2005,1183,79584
51,2006,3302,96885
51,2007,3148,82109
51,2008,3150,68486
51,2009,1210,75415
51,2010,4511.68,78261
51,2011,4779.9,80532
51,2012,4511.17,127789
51,2013,1724.86,142038
51,2014,3693.22,186673
51,2015,4133.19,147447
51,2016,5395.18,141447
51,2017,7023.2300000000005,198629
51,2018,2522.58,180252
145,1986,590,41201
145,1987,2013,77132
145,1988,1178,76413
145,1989,1311,71220
145,1990,3679,70025
145,1991,1411,78662
145,1992,721,68220
145,1993,43,71325
145,1994,922,68802
145,1995,1148,74530
145,1996,249,77375
145,1997,519,78229
145,1998,4267,166015
145,1999,5087,174118
145,2000,17470,303430
145,2001,5805,173534
145,2002,17521,387767
145,2003,14255,401875
145,2004,14636,400005
145,2005,3150,153104
145,2006,6551,165344
145,2007,6749,160949
145,2008,15316,156688
145,2009,10503,162904
145,2010,10796.33,160371
145,2011,3357.14,146876
145,2012,7253.65,161051
145,2013,13584.44,158257
145,2014,6381.39,167876
145,2015,4959.280000000001,82009
145,2016,4678.96,82104
145,2017,1425.8,60764
145,2018,1060.24,87554
17,1995,2579,44691
17,1996,4810,245612
17,1997,3082,85055
17,1998,1203,88436
17,1999,4809,84205
17,2000,4769,80923
17,2001,9101,154603
17,2002,11106,239313
17,2003,16163,192866
17,2004,10634,202351
17,2005,1112,93171
17,2006,3940,88605
17,2007,3530,86675
17,2008,4533,94278
17,2009,2075,88778
17,2010,5062.26,86927
17,2011,4910.24,87923
17,2012,6278.25,84105
17,2013,3949.16,90718
17,2014,1377.97,86551
17,2015,3227.67,95341
17,2016,2308.42,87735
17,2017,3740.28,92924
17,2018,1303.26,73507
59,1986,4381,47554
59,1987,1311,46383
59,1988,2432,45072
59,1989,2046,46176
59,1990,2744,123902
59,1991,1664,137136
59,1992,755,88356
59,1993,2143,45558
59,1994,4585,134034
59,1995,2504,43435
59,1996,1753,46321
59,1997,574,90309
59,1998,592,45175
59,1999,1774,87138
59,2000,4618,83783
59,2001,5942,100808
59,2002,4474,87205
59,2003,4608,87743
59,2004,4516,87559
59,2005,1629,83210
59,2006,2704,89844
59,2007,2133,86978
59,2008,2867,98580
59,2009,666,91614
59,2010,2485.97,90188
59,2011,1840.69,91733
59,2012,3420.89,91292
59,2013,1181.28,89917
59,2014,1112.87,89730
59,2015,1841.1299999999999,88330
59,2016,3228.8,93812
59,2017,1793.87,93789
59,2018,1897.63,93919
161,1986,2778,109599
161,1987,4374,109178
161,1988,3787,78499
161,1995,1540,74219
161,1996,278,76069
161,1997,1077,150791
161,1998,1756,73187
161,1999,5319,153065
161,2001,7530,133314
161,2002,13998,225883
161,2003,2916,137210
161,2004,9017,137115
161,2005,2360,147307
161,2006,2126,193991
161,2007,1641,183538
161,2008,3660,194124
161,2009,3742,197584
161,2010,3831.66,199236
161,2011,2106.28,193207
161,2012,1875.75,200493
161,2013,15080.64,150745
161,2014,2559.5,156804
161,2015,4738.56,153398
161,2016,2086.09,154423
161,2017,2353.42,149973
161,2018,7424.460000000001,149843
